Job Date,Task,Job Name,Job Number,Employee,Rate,Hours,Total,Invoice Amount,Invoice Number,Invoice Issue Date,Invoice Due Date,Invoice Status,Client Name,Client Street,Client City,Client Phone,Client Email,Attn,Client ID
6/2/2025,Prints,John Ross- Extrusions,,A Shamrock,150,1,150,150,1025,,,In-Process,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
5/30/2025,Prints,John Ross- Extrusions,,A Shamrock,150,4.1,615,2498,1024,6/1/2025,8/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
5/29/2025,3D Print,BMW,32 (1),A Shamrock,,4,38,2498,1024,6/1/2025,8/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
5/29/2025,Prints,BMW,,A Shamrock,150,0.7,105,2498,1024,6/1/2025,8/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
5/27/2025,Prints,191 N Wacker,,A Shamrock,150,0.6,90,2498,1024,6/1/2025,8/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
5/27/2025,Prints,UH Seidman,,A Shamrock,150,1.9,285,2498,1024,6/1/2025,8/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
5/14/2025,Prints,Rocket Arena,,A Shamrock,150,2.8,420,2498,1024,6/1/2025,8/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
5/5/2025,Prints,191 N Wacker,,A Shamrock,150,3.7,555,2498,1024,6/1/2025,8/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
5/1/2025,Prints,Maggie,,A Shamrock,150,0.5,75,2498,1024,6/1/2025,8/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
5/1/2025,Prints,BMW,,A Shamrock,150,2.1,315,2498,1024,6/1/2025,8/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
4/23/2025,Prints,Rocket Arena,,A Shamrock,150,3.3,495,3090,1023,5/1/2025,7/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
4/22/2025,Prints,Rocket Arena,,A Shamrock,150,2.4,360,3090,1023,5/1/2025,7/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
4/16/2025,Prints,BMW,,A Shamrock,150,1.6,240,3090,1023,5/1/2025,7/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
4/15/2025,Prints,BMW,,A Shamrock,150,0.9,135,3090,1023,5/1/2025,7/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
4/13/2025,Prints,BMW,,A Shamrock,150,1.1,165,3090,1023,5/1/2025,7/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
4/11/2025,Prints,BMW,,A Shamrock,150,5.7,855,3090,1023,5/1/2025,7/1/2025,Issued,Frank Novak and Sons Inc,23940 Miles Road,Bedford Heights Ohio 44128,(216) 475-5440,Accountspayable@franknovak.com,Accounts Payable,1
